id,title,description,condition,price,availability,link,image link,gtin,mpn,brand,google product category,shipping weight,sale price,sale price effective date,additional image link,product type,custom label 0
5089016,Wonders of the World Desk Calendar,"This small format desk calendar is narrow and spiral bound and  features photographs of landmarks around the world. It is    different   than our original desk calendars as it features only 6 pages    plus  cover for  possibly&nbsp;reduced postal rates.* Planning pages are not     included.
July through December pages are printed on the back of the January     through  June pages. When you turn the page from June, simply turn the     calendar around  and the rest of the year continues. Your imprint is  on    both sides of the  calendar, so your name stays at the bottom of  the    current month.
Monthly images:




*Check with your post office for postage rates.&nbsp; Any     additional  inserts will increase postage.&nbsp; Postage rates and     regulations vary by year and  post office. We recommend that you request     a free sample and take it to your local  post office.
Please note: Small format desk calendars will ship separately from all other  items.
&nbsp;",New,69.00 USD,in stock,https://postycards.com/catalog/product/Wonders_of_the_World_5089016,https://postycards.com/images/fck/Exterior/2015%20Cal/WW16.cvr.blank.jpg,,5089016,Posty Cards Inc.,"Office Supplies > Filing & Organization > Calendars, Organizers & Planners",1 lb,,,,Business Calendars > Desk Calendars,
5099016,Scenes Across America Desk Calendar,"This small format desk calendar is narrow and spiral bound and  features scenic photographs from across North America. It is     different  than our original desk calendars as it features only 6 pages     plus cover for  possibly&nbsp;reduced postal rates.* Planning pages are  not    included.
July through December pages are printed on the back of the January     through  June pages. When you turn the page from June, simply turn the     calendar around  and the rest of the year continues. Your imprint is  on    both sides of the  calendar, so your name stays at the bottom of  the    current month.
Monthly images:




*Check with your post office for postage rates.&nbsp; Any     additional  inserts will increase postage.&nbsp; Postage rates and     regulations vary by year and  post office. We recommend that you request     a free sample and take it to your local  post office.
Please note: Small format desk calendars will ship separately from all other  items.
&nbsp;",New,69.00 USD,in stock,https://postycards.com/catalog/product/Scenes_Across_America_5099016,https://postycards.com/images/fck/Exterior/2015%20Cal/SA16cvr.blank.jpg,,5099016,Posty Cards Inc.,"Office Supplies > Filing & Organization > Calendars, Organizers & Planners",1 lb,,,,Business Calendars > Desk Calendars,
106G-W,Tulips Greeting Card,"These bright and cheerful tulips are sure to make their day. Featuring FSC&reg; certified paper and gold foil embossing.
Includes 26 gold foil lined envelopes for every 25 cards ordered.",New,36.00 USD,in stock,https://postycards.com/catalog/product/Tulips_106G,https://postycards.com/images/fck/Exterior/2011%20AO/106.jpg,,106G-W,Posty Cards Inc.,Arts & Entertainment > Party & Celebration > Gift Giving > Greeting & Note Cards,1 lb,,,,General greeting cards,
110U-X,Corporate Happy Birthday Greeting Card,"A simple birthday card with muted colors and featuring FSC&reg; certified paper and gold foil embossing.
Includes 26 white envelopes for every 25 cards ordered.
",New,30.00 USD,in stock,https://postycards.com/catalog/product/Corporate_Happy_Birthday_110U,https://postycards.com/images/fck/Exterior/2011%20AO/110.jpg,,110U-X,Posty Cards Inc.,Arts & Entertainment > Party & Celebration > Gift Giving > Greeting & Note Cards,1 lb,,,,Birthday cards,
111U-X,Patriotic Birthday Greeting Card,"This executive birthday card has a subtly patriotic theme. Featuring FSC&reg; certified paper and silver foil embossing.
Includes 26 white envelopes for every 25 cards ordered.",New,30.00 USD,in stock,https://postycards.com/catalog/product/Patriotic_Birthday_111U,https://postycards.com/images/fck/Exterior/2011%20AO/111.jpg,,111U-X,Posty Cards Inc.,Arts & Entertainment > Party & Celebration > Gift Giving > Greeting & Note Cards,1 lb,,,,Birthday cards,
113U-X,Stroll in the Park Greeting Card,"This picturesque park scene makes you feel like you are there. Featuring gold foil embossing on FSC&reg; certified paper.
Includes 26 white envelopes for every 25 cards ordered.",New,30.00 USD,in stock,https://postycards.com/catalog/product/Stroll_in_the_Park_113U,https://postycards.com/images/fck/Exterior/2011%20AO/113.jpg,,113U-X,Posty Cards Inc.,Arts & Entertainment > Party & Celebration > Gift Giving > Greeting & Note Cards,1 lb,,,,General greeting cards,
119U-X,Coastal Golf Greeting Card,"A scenic golf course overlooking the ocean. Featuring gold foil embossing and FSC&reg; certified paper.
Includes 26 white envelopes for every 25 cards ordered.",New,30.00 USD,in stock,https://postycards.com/catalog/product/Coastal_Golf_119U,https://postycards.com/images/fck/Exterior/2011%20AO/119.jpg,,119U-X,Posty Cards Inc.,Arts & Entertainment > Party & Celebration > Gift Giving > Greeting & Note Cards,1 lb,,,,General greeting cards,
120U-X,Early Morning Tee Greeting Card,"This golf birthday card features the sun rising on a scenic golf course and gold foil embossing. Printed on FSC&reg; certified paper.
Includes 26 white envelopes for every 25 cards ordered.",New,30.00 USD,in stock,https://postycards.com/catalog/product/Early_Morning_Tee_120U,https://postycards.com/images/fck/Exterior/2011%20AO/120.jpg,,120U-X,Posty Cards Inc.,Arts & Entertainment > Party & Celebration > Gift Giving > Greeting & Note Cards,1 lb,,,,Birthday cards,
123U-X,Bonds Birthday Greeting Card,"A financial birthday card featuring textured gold foil stamping and FSC&reg; certified paper.
Includes 26 white envelopes for every 25 cards ordered.
",New,30.00 USD,in stock,https://postycards.com/catalog/product/Bonds_Birthday_123U,https://postycards.com/images/fck/Exterior/2011%20AO/123.jpg,,123U-X,Posty Cards Inc.,Arts & Entertainment > Party & Celebration > Gift Giving > Greeting & Note Cards,1 lb,,,,Birthday cards,
124U-X,Formal Wall Street Greeting Card,"This corporate birthday card for the financial industry features a gold foil embossed bull and bear. Printed on FSC&reg; certified paper.
Includes 26 white envelopes for every 25 cards ordered.
",New,30.00 USD,in stock,https://postycards.com/catalog/product/Formal_Wall_Street_124U,https://postycards.com/images/fck/Exterior/2011%20AO/124.jpg,,124U-X,Posty Cards Inc.,Arts & Entertainment > Party & Celebration > Gift Giving > Greeting & Note Cards,1 lb,,,,Birthday cards,
125U-X,Birthday Construction Greeting Card,"A birthday card featuring a city skyline under construction and silver foil stamping. Printed on FSC&reg; certified paper.
Includes 26 white envelopes for every 25 cards ordered.",New,30.00 USD,in stock,https://postycards.com/catalog/product/Birthday_Construction_125U,https://postycards.com/images/fck/Exterior/2011%20AO/125.jpg,,125U-X,Posty Cards Inc.,Arts & Entertainment > Party & Celebration > Gift Giving > Greeting & Note Cards,1 lb,,,,Birthday cards,
126U-X,Feliz Cumplea̱os Greeting Card,"A colorful Spanish birthday card featuring FSC&reg; certified paper and gold foil embossing.
Includes 26 white envelopes for every 25 cards ordered.
English translation of interior verse: May your birthday be filled with joy, fortune and love.",New,30.00 USD,in stock,https://postycards.com/catalog/product/Feliz_Cumpleaos_126U,https://postycards.com/images/fck/Exterior/2011%20AO/126.jpg,,126U-X,Posty Cards Inc.,Arts & Entertainment > Party & Celebration > Gift Giving > Greeting & Note Cards,1 lb,,,,Birthday cards,
127U-X,Patriotic Home Greeting Card,"This business birthday card features a beautiful home with an American flag and gold foil embossing. Printed on FSC&reg; certified paper.
Includes 26 white envelopes for every 25 cards ordered.",New,30.00 USD,in stock,https://postycards.com/catalog/product/Patriotic_Home_127U,https://postycards.com/images/fck/Exterior/2011%20AO/127.jpg,,127U-X,Posty Cards Inc.,Arts & Entertainment > Party & Celebration > Gift Giving > Greeting & Note Cards,1 lb,,,,Birthday cards,
129U-X,Nest Egg Greeting Card,"Your clients will love this literal interpretation of a &quot;nest egg.&quot; Featuring gold foil embossing and FSC&reg; certified paper.
Includes 26 white envelopes for every 25 cards ordered.
",New,30.00 USD,in stock,https://postycards.com/catalog/product/Nest_Egg_129U,https://postycards.com/images/fck/Exterior/2011%20AO/129.jpg,,129U-X,Posty Cards Inc.,Arts & Entertainment > Party & Celebration > Gift Giving > Greeting & Note Cards,1 lb,,,,General greeting cards,
130U-X,Sundae Wishes Greeting Card,"Send birthday wishes with this scrumptious ice cream sundae featuring silver sparkle foil embossing and printed on FSC&reg; certified paper.
Includes 26 white envelopes for every 25 cards ordered.",New,30.00 USD,in stock,https://postycards.com/catalog/product/Sundae_Wishes_130U,https://postycards.com/images/fck/Exterior/2011%20AO/130.jpg,,130U-X,Posty Cards Inc.,Arts & Entertainment > Party & Celebration > Gift Giving > Greeting & Note Cards,1 lb,,,,Birthday cards,
132R-X,Chinese Birthday Greeting Card,"This elegant Chinese birthday card features gold foil embossing and FSC&reg; certified paper. The verse appears in English on the right and Chinese on the left.
Includes 26 red envelopes for every 25 cards ordered.
",New,30.00 USD,in stock,https://postycards.com/catalog/product/Chinese_Birthday_132R,https://postycards.com/images/fck/Exterior/2011%20AO/132.jpg,,132R-X,Posty Cards Inc.,Arts & Entertainment > Party & Celebration > Gift Giving > Greeting & Note Cards,1 lb,,,,Birthday cards,
135U-Y,Spring Floral Greeting Card,"These bright flowers will brighten anyone's day. Printed on FSC&reg; certified paper.
Includes 26 white envelopes for every 25 cards ordered.",New,26.00 USD,in stock,https://postycards.com/catalog/product/Spring_Floral_135U,https://postycards.com/images/fck/Exterior/2011%20AO/135.jpg,,135U-Y,Posty Cards Inc.,Arts & Entertainment > Party & Celebration > Gift Giving > Greeting & Note Cards,1 lb,,,,General greeting cards,
136U-Y,Tiki Party Greeting Card,"A fun card for kids that features a maze activity inside and is printed on FSC&reg; certified paper.
The maze appears above the flap on the inside of the card:

Includes 26 white envelopes for every 25 cards ordered.",New,26.00 USD,in stock,https://postycards.com/catalog/product/Tiki_Party_136U,https://postycards.com/images/fck/Exterior/2011%20AO/136.jpg,,136U-Y,Posty Cards Inc.,Arts & Entertainment > Party & Celebration > Gift Giving > Greeting & Note Cards,1 lb,,,,General greeting cards,
143U-Y,Feliz Cumpleanos Balloons Greeting Card,"A fun Spanish birthday card with colorful graphic balloons, printed on FSC&reg; certified paper.
Includes 26 white envelopes for every 25 cards ordered.
English translation of interior verse: It's your birthday! Time for fun.",New,26.00 USD,in stock,https://postycards.com/catalog/product/Feliz_Cumpleaos_Balloons_143U,https://postycards.com/images/fck/Exterior/2011%20AO/143.jpg,,143U-Y,Posty Cards Inc.,Arts & Entertainment > Party & Celebration > Gift Giving > Greeting & Note Cards,1 lb,,,,Birthday cards,
144L-Y,Birthday Policy Greeting Card,"This birthday card is perfect for anyone in the insurance industry. Your clients will love that it is designed to look like an insurance policy.
Printed on FSC&reg; certified paper and includes 26 white envelopes for every 25 cards ordered.
Folds to fit in a 4&quot; x 9.25&quot; (#10) envelope.
",New,26.00 USD,in stock,https://postycards.com/catalog/product/Birthday_Policy_144L,https://postycards.com/images/fck/Exterior/2011%20AO/144.jpg,,144L-Y,Posty Cards Inc.,Arts & Entertainment > Party & Celebration > Gift Giving > Greeting & Note Cards,1 lb,,,,Birthday cards,
147R-Y,Chinese Orchids Greeting Card,"A Chinese birthday card with lovely pink orchids, printed on FSC&reg; certified paper. The verse appears both in English and in Chinese.
Includes 26 red envelopes for every 25 cards ordered.
",New,26.00 USD,in stock,https://postycards.com/catalog/product/Chinese_Orchids_147R,https://postycards.com/images/fck/Exterior/2011%20AO/147.jpg,,147R-Y,Posty Cards Inc.,Arts & Entertainment > Party & Celebration > Gift Giving > Greeting & Note Cards,1 lb,,,,Birthday cards,
149T-Z,Teal Floral Greeting Card,"A budget friendly birthday card with a simple floral design, printed on FSC&reg; certified paper.
Includes 26 white envelopes for every 25 cards ordered.
",New,19.50 USD,in stock,https://postycards.com/catalog/product/Teal_Floral_149T,https://postycards.com/images/fck/Exterior/2011%20AO/149.jpg,,149T-Z,Posty Cards Inc.,Arts & Entertainment > Party & Celebration > Gift Giving > Greeting & Note Cards,1 lb,,,,Birthday cards,
150T-Z,Field of Dreams Greeting Card,"This budget friendly birthday card features a scenic photograph of a summer field and is printed on FSC&reg; certified paper.
Includes 26 white envelopes for every 25 cards ordered.
",New,19.50 USD,in stock,https://postycards.com/catalog/product/Field_of_Dreams_150T,https://postycards.com/images/fck/Exterior/2011%20AO/150.jpg,,150T-Z,Posty Cards Inc.,Arts & Entertainment > Party & Celebration > Gift Giving > Greeting & Note Cards,1 lb,,,,Birthday cards,
151P-ZZ,Plaid Postcard Greeting Card,"A business birthday postcard with a simple plaid design, printed on FSC certified paper.
No envelope included.
",New,17.50 USD,in stock,https://postycards.com/catalog/product/Plaid_Postcard_151P,https://postycards.com/images/fck/Exterior/2011%20AO/151.jpg,,151P-ZZ,Posty Cards Inc.,Arts & Entertainment > Party & Celebration > Gift Giving > Greeting & Note Cards,1 lb,,,,Birthday cards,
152P-ZZ,Rainbow Postcard Greeting Card,"A colorful typographic birthday postcard, printed on FSC&reg; certified paper.
No envelope included.
",New,17.50 USD,in stock,https://postycards.com/catalog/product/Rainbow_Postcard_152P,https://postycards.com/images/fck/Exterior/2011%20AO/152.jpg,,152P-ZZ,Posty Cards Inc.,Arts & Entertainment > Party & Celebration > Gift Giving > Greeting & Note Cards,1 lb,,,,Birthday cards,
153U-X,Sympathy Leaves Greeting Card,"An elegant sympathy card perfect for sending your condolences. Featuring matte silver and gold foil embossing and printed on FSC&reg; certified paper.
Includes 26 white envelopes for every 25 cards ordered.
&nbsp;",New,30.00 USD,in stock,https://postycards.com/catalog/product/Sympathy_Leaves_153U,https://postycards.com/images/fck/Exterior/2011%20AO/153.jpg,,153U-X,Posty Cards Inc.,Arts & Entertainment > Party & Celebration > Gift Giving > Greeting & Note Cards,1 lb,,,,Sympathy cards,
156U-X,Feels Like Home Mother's Day Greeting Card,"A Mother's Day card with an inviting front porch and gold foil embossing. Printed on FSC&reg; certified paper.
Includes 26 white envelopes for every 25 cards ordered.",New,30.00 USD,in stock,https://postycards.com/catalog/product/Feels_Like_Home_156U,https://postycards.com/images/fck/Exterior/2011%20AO/156.jpg,,156U-X,Posty Cards Inc.,Arts & Entertainment > Party & Celebration > Gift Giving > Greeting & Note Cards,1 lb,,,,Mothers day cards,
159D-Y,Mother's Day Daisy Greeting Card,"Remember moms with this fun, floral Mother's Day card, printed on FSC&reg; certified paper.
Includes 26 white envelopes for every 25 cards ordered.
",New,26.00 USD,in stock,https://postycards.com/catalog/product/Mothers_Day_Daisy_159D,https://postycards.com/images/fck/Exterior/2011%20AO/159.jpg,,159D-Y,Posty Cards Inc.,Arts & Entertainment > Party & Celebration > Gift Giving > Greeting & Note Cards,1 lb,,,,Mothers day cards,
160D-Y,Formal Father's Day Greeting Card,"A formal, budget friendly Father's Day card to send to your clients and employees who are fathers. Printed on FSC&reg; certified paper.
Includes 26 white envelopes for every 25 cards ordered.
",New,26.00 USD,in stock,https://postycards.com/catalog/product/Formal_Fathers_Day_160D,https://postycards.com/images/fck/Exterior/2011%20AO/160.jpg,,160D-Y,Posty Cards Inc.,Arts & Entertainment > Party & Celebration > Gift Giving > Greeting & Note Cards,1 lb,,,,Fathers day cards,
161U-X,Scenic Father's Day Greeting Card,"A Father's Day card with a beautiful mountain lake scene. Featuring FSC&reg; certified paper and gold foil embossing.
Includes 26 white envelopes for every 25 cards ordered.",New,30.00 USD,in stock,https://postycards.com/catalog/product/Scenic_Fathers_Day_161U,https://postycards.com/images/fck/Exterior/2011%20AO/161.jpg,,161U-X,Posty Cards Inc.,Arts & Entertainment > Party & Celebration > Gift Giving > Greeting & Note Cards,1 lb,,,,Fathers day cards,
162U-X,Special Moments Father's Day Greeting Card,"A classic Father's Day card featuring gold foil embossing and printed on FSC&reg; certified paper.
Includes 26 white envelopes for every 25 cards ordered.
",New,30.00 USD,in stock,https://postycards.com/catalog/product/Special_Moments_Fathers_Day_162U,https://postycards.com/images/fck/Exterior/2011%20AO/162.jpg,,162U-X,Posty Cards Inc.,Arts & Entertainment > Party & Celebration > Gift Giving > Greeting & Note Cards,1 lb,,,,Fathers day cards,
